DATAFLOW,LAST UPDATE,freq,nrg_bal,siec,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:NRG_D_HHQ(1.0),31/05/23 23:00:00,A,FC_OTH_HH_E,E7000,GWH,EU27_2020,2021,747402.703,
ESTAT:NRG_D_HHQ(1.0),31/05/23 23:00:00,A,FC_OTH_HH_E,E7000,GWH,FI,2015,20918.000,
ESTAT:NRG_D_HHQ(1.0),31/05/23 23:00:00,A,FC_OTH_HH_E,E7000,GWH,FI,2016,22518.000,
ESTAT:NRG_D_HHQ(1.0),31/05/23 23:00:00,A,FC_OTH_HH_E,E7000,GWH,FI,2017,22512.000,
ESTAT:NRG_D_HHQ(1.0),31/05/23 23:00:00,A,FC_OTH_HH_E,E7000,GWH,FI,2018,22896.000,
ESTAT:NRG_D_HHQ(1.0),31/05/23 23:00:00,A,FC_OTH_HH_E,E7000,GWH,FI,2019,22546.000,
ESTAT:NRG_D_HHQ(1.0),31/05/23 23:00:00,A,FC_OTH_HH_E,E7000,GWH,FI,2020,22041.000,
ESTAT:NRG_D_HHQ(1.0),31/05/23 23:00:00,A,FC_OTH_HH_E,E7000,GWH,FI,2021,24261.000,
ESTAT:NRG_D_HHQ(1.0),31/05/23 23:00:00,A,FC_OTH_HH_E,E7000,GWH,FR,2010,161520.000,
ESTAT:NRG_D_HHQ(1.0),31/05/23 23:00:00,A,FC_OTH_HH_E,E7000,GWH,FR,2011,148030.183,
ESTAT:NRG_D_HHQ(1.0),31/05/23 23:00:00,A,FC_OTH_HH_E,E7000,GWH,FR,2012,160088.181,
ESTAT:NRG_D_HHQ(1.0),31/05/23 23:00:00,A,FC_OTH_HH_E,E7000,GWH,FR,2013,168129.225,
ESTAT:NRG_D_HHQ(1.0),31/05/23 23:00:00,A,FC_OTH_HH_E,E7000,GWH,FR,2014,150814.993,
ESTAT:NRG_D_HHQ(1.0),31/05/23 23:00:00,A,FC_OTH_HH_E,E7000,GWH,FR,2015,157301.715,
ESTAT:NRG_D_HHQ(1.0),31/05/23 23:00:00,A,FC_OTH_HH_E,E7000,GWH,FR,2016,163104.102,
ESTAT:NRG_D_HHQ(1.0),31/05/23 23:00:00,A,FC_OTH_HH_E,E7000,GWH,FR,2017,161122.891,
ESTAT:NRG_D_HHQ(1.0),31/05/23 23:00:00,A,FC_OTH_HH_E,E7000,GWH,FR,2018,160235.864,
ESTAT:NRG_D_HHQ(1.0),31/05/23 23:00:00,A,FC_OTH_HH_E,E7000,GWH,FR,2019,159722.077,
ESTAT:NRG_D_HHQ(1.0),31/05/23 23:00:00,A,FC_OTH_HH_E,E7000,GWH,FR,2020,161498.532,
ESTAT:NRG_D_HHQ(1.0),31/05/23 23:00:00,A,FC_OTH_HH_E,E7000,GWH,FR,2021,169776.175,
ESTAT:NRG_D_HHQ(1.0),31/05/23 23:00:00,A,FC_OTH_HH_E,E7000,GWH,GE,2016,2376.949,
ESTAT:NRG_D_HHQ(1.0),31/05/23 23:00:00,A,FC_OTH_HH_E,E7000,GWH,GE,2017,2460.897,
ESTAT:NRG_D_HHQ(1.0),31/05/23 23:00:00,A,FC_OTH_HH_E,E7000,GWH,GE,2018,2484.000,
ESTAT:NRG_D_HHQ(1.0),31/05/23 23:00:00,A,FC_OTH_HH_E,E7000,GWH,GE,2019,2461.000,
ESTAT:NRG_D_HHQ(1.0),31/05/23 23:00:00,A,FC_OTH_HH_E,E7000,GWH,GE,2020,2565.000,
ESTAT:NRG_D_HHQ(1.0),31/05/23 23:00:00,A,FC_OTH_HH_E,E7000,GWH,GE,2021,2039.207,
ESTAT:NRG_D_HHQ(1.0),31/05/23 23:00:00,A,FC_OTH_HH_E,E7000,GWH,HR,2010,6575.300,
ESTAT:NRG_D_HHQ(1.0),31/05/23 23:00:00,A,FC_OTH_HH_E,E7000,GWH,HR,2011,6456.400,
ESTAT:NRG_D_HHQ(1.0),31/05/23 23:00:00,A,FC_OTH_HH_E,E7000,GWH,HR,2012,6400.500,
ESTAT:NRG_D_HHQ(1.0),31/05/23 23:00:00,A,FC_OTH_HH_E,E7000,GWH,HR,2013,6149.800,
ESTAT:NRG_D_HHQ(1.0),31/05/23 23:00:00,A,FC_OTH_HH_E,E7000,GWH,HR,2014,5961.500,
ESTAT:NRG_D_HHQ(1.0),31/05/23 23:00:00,A,FC_OTH_HH_E,E7000,GWH,HR,2015,6117.100,
ESTAT:NRG_D_HHQ(1.0),31/05/23 23:00:00,A,FC_OTH_HH_E,E7000,GWH,HR,2016,6037.600,
ESTAT:NRG_D_HHQ(1.0),31/05/23 23:00:00,A,FC_OTH_HH_E,E7000,GWH,HR,2017,6174.400,
ESTAT:NRG_D_HHQ(1.0),31/05/23 23:00:00,A,FC_OTH_HH_E,E7000,GWH,HR,2018,6115.600,
ESTAT:NRG_D_HHQ(1.0),31/05/23 23:00:00,A,FC_OTH_HH_E,E7000,GWH,HR,2019,6123.300,
ESTAT:NRG_D_HHQ(1.0),31/05/23 23:00:00,A,FC_OTH_HH_E,E7000,GWH,HR,2020,5993.100,
ESTAT:NRG_D_HHQ(1.0),31/05/23 23:00:00,A,FC_OTH_HH_E,E7000,GWH,HR,2021,6503.000,
ESTAT:NRG_D_HHQ(1.0),31/05/23 23:00:00,A,FC_OTH_HH_E,E7000,GWH,HU,2015,10839.000,
ESTAT:NRG_D_HHQ(1.0),31/05/23 23:00:00,A,FC_OTH_HH_E,E7000,GWH,HU,2016,10954.000,
ESTAT:NRG_D_HHQ(1.0),31/05/23 23:00:00,A,FC_OTH_HH_E,E7000,GWH,HU,2017,11248.724,
ESTAT:NRG_D_HHQ(1.0),31/05/23 23:00:00,A,FC_OTH_HH_E,E7000,GWH,HU,2018,11369.999,
ESTAT:NRG_D_HHQ(1.0),31/05/23 23:00:00,A,FC_OTH_HH_E,E7000,GWH,HU,2019,11618.056,
ESTAT:NRG_D_HHQ(1.0),31/05/23 23:00:00,A,FC_OTH_HH_E,E7000,GWH,HU,2020,12275.000,
ESTAT:NRG_D_HHQ(1.0),31/05/23 23:00:00,A,FC_OTH_HH_E,E7000,GWH,HU,2021,13028.889,
ESTAT:NRG_D_HHQ(1.0),31/05/23 23:00:00,A,FC_OTH_HH_E,E7000,GWH,IE,2015,7880.761,
ESTAT:NRG_D_HHQ(1.0),31/05/23 23:00:00,A,FC_OTH_HH_E,E7000,GWH,IE,2016,7872.745,
ESTAT:NRG_D_HHQ(1.0),31/05/23 23:00:00,A,FC_OTH_HH_E,E7000,GWH,IE,2017,7959.019,
ESTAT:NRG_D_HHQ(1.0),31/05/23 23:00:00,A,FC_OTH_HH_E,E7000,GWH,IE,2018,8173.776,
ESTAT:NRG_D_HHQ(1.0),31/05/23 23:00:00,A,FC_OTH_HH_E,E7000,GWH,IE,2019,8132.950,
ESTAT:NRG_D_HHQ(1.0),31/05/23 23:00:00,A,FC_OTH_HH_E,E7000,GWH,IE,2020,8723.323,
ESTAT:NRG_D_HHQ(1.0),31/05/23 23:00:00,A,FC_OTH_HH_E,E7000,GWH,IE,2021,8802.766,
ESTAT:NRG_D_HHQ(1.0),31/05/23 23:00:00,A,FC_OTH_HH_E,E7000,GWH,IT,2015,66187.000,
ESTAT:NRG_D_HHQ(1.0),31/05/23 23:00:00,A,FC_OTH_HH_E,E7000,GWH,IT,2016,64304.000,
ESTAT:NRG_D_HHQ(1.0),31/05/23 23:00:00,A,FC_OTH_HH_E,E7000,GWH,IT,2017,65490.699,
ESTAT:NRG_D_HHQ(1.0),31/05/23 23:00:00,A,FC_OTH_HH_E,E7000,GWH,IT,2018,65137.795,
ESTAT:NRG_D_HHQ(1.0),31/05/23 23:00:00,A,FC_OTH_HH_E,E7000,GWH,IT,2019,65588.003,
ESTAT:NRG_D_HHQ(1.0),31/05/23 23:00:00,A,FC_OTH_HH_E,E7000,GWH,IT,2020,66211.648,
ESTAT:NRG_D_HHQ(1.0),31/05/23 23:00:00,A,FC_OTH_HH_E,E7000,GWH,IT,2021,67052.270,
ESTAT:NRG_D_HHQ(1.0),31/05/23 23:00:00,A,FC_OTH_HH_E,E7000,GWH,LT,2017,2837.600,
ESTAT:NRG_D_HHQ(1.0),31/05/23 23:00:00,A,FC_OTH_HH_E,E7000,GWH,LT,2018,2984.500,
ESTAT:NRG_D_HHQ(1.0),31/05/23 23:00:00,A,FC_OTH_HH_E,E7000,GWH,LT,2019,2912.700,
ESTAT:NRG_D_HHQ(1.0),31/05/23 23:00:00,A,FC_OTH_HH_E,E7000,GWH,LT,2020,3044.200,
ESTAT:NRG_D_HHQ(1.0),31/05/23 23:00:00,A,FC_OTH_HH_E,E7000,GWH,LT,2021,3410.200,
ESTAT:NRG_D_HHQ(1.0),31/05/23 23:00:00,A,FC_OTH_HH_E,E7000,GWH,LU,2010,815.153,
ESTAT:NRG_D_HHQ(1.0),31/05/23 23:00:00,A,FC_OTH_HH_E,E7000,GWH,LU,2011,851.610,
ESTAT:NRG_D_HHQ(1.0),31/05/23 23:00:00,A,FC_OTH_HH_E,E7000,GWH,LU,2012,916.444,
ESTAT:NRG_D_HHQ(1.0),31/05/23 23:00:00,A,FC_OTH_HH_E,E7000,GWH,LU,2013,979.184,
ESTAT:NRG_D_HHQ(1.0),31/05/23 23:00:00,A,FC_OTH_HH_E,E7000,GWH,LU,2014,1010.906,
ESTAT:NRG_D_HHQ(1.0),31/05/23 23:00:00,A,FC_OTH_HH_E,E7000,GWH,LU,2015,989.287,
ESTAT:NRG_D_HHQ(1.0),31/05/23 23:00:00,A,FC_OTH_HH_E,E7000,GWH,LU,2016,975.786,
ESTAT:NRG_D_HHQ(1.0),31/05/23 23:00:00,A,FC_OTH_HH_E,E7000,GWH,LU,2017,969.417,
ESTAT:NRG_D_HHQ(1.0),31/05/23 23:00:00,A,FC_OTH_HH_E,E7000,GWH,LU,2018,928.318,
ESTAT:NRG_D_HHQ(1.0),31/05/23 23:00:00,A,FC_OTH_HH_E,E7000,GWH,LU,2019,909.369,
ESTAT:NRG_D_HHQ(1.0),31/05/23 23:00:00,A,FC_OTH_HH_E,E7000,GWH,LU,2020,949.818,
ESTAT:NRG_D_HHQ(1.0),31/05/23 23:00:00,A,FC_OTH_HH_E,E7000,GWH,LU,2021,939.047,
ESTAT:NRG_D_HHQ(1.0),31/05/23 23:00:00,A,FC_OTH_HH_E,E7000,GWH,LV,2010,1938.000,
ESTAT:NRG_D_HHQ(1.0),31/05/23 23:00:00,A,FC_OTH_HH_E,E7000,GWH,LV,2011,1772.000,
ESTAT:NRG_D_HHQ(1.0),31/05/23 23:00:00,A,FC_OTH_HH_E,E7000,GWH,LV,2012,1776.000,
ESTAT:NRG_D_HHQ(1.0),31/05/23 23:00:00,A,FC_OTH_HH_E,E7000,GWH,LV,2013,1783.000,
ESTAT:NRG_D_HHQ(1.0),31/05/23 23:00:00,A,FC_OTH_HH_E,E7000,GWH,LV,2014,1747.000,
ESTAT:NRG_D_HHQ(1.0),31/05/23 23:00:00,A,FC_OTH_HH_E,E7000,GWH,LV,2015,1759.000,
ESTAT:NRG_D_HHQ(1.0),31/05/23 23:00:00,A,FC_OTH_HH_E,E7000,GWH,LV,2016,1793.000,
ESTAT:NRG_D_HHQ(1.0),31/05/23 23:00:00,A,FC_OTH_HH_E,E7000,GWH,LV,2017,1656.474,
ESTAT:NRG_D_HHQ(1.0),31/05/23 23:00:00,A,FC_OTH_HH_E,E7000,GWH,LV,2018,1670.083,
ESTAT:NRG_D_HHQ(1.0),31/05/23 23:00:00,A,FC_OTH_HH_E,E7000,GWH,LV,2019,1649.382,
